[0.000000] (-) TimerEvent: {}
[0.000158] (sam_bot_nav2_gz) JobQueued: {'identifier': 'sam_bot_nav2_gz', 'dependencies': OrderedDict()}
[0.000186] (sam_bot_nav2_gz) JobStarted: {'identifier': 'sam_bot_nav2_gz'}
[0.064650] (sam_bot_nav2_gz) JobProgress: {'identifier': 'sam_bot_nav2_gz', 'progress': 'cmake'}
[0.065109] (sam_bot_nav2_gz) JobProgress: {'identifier': 'sam_bot_nav2_gz', 'progress': 'build'}
[0.065737] (sam_bot_nav2_gz) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/build/sam_bot_nav2_gz', '--', '-j8', '-l8'], 'cwd': '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/build/sam_bot_nav2_gz', 'env': OrderedDict([('USER', 'ubuntu'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/iron/opt/rviz_ogre_vendor/lib:/opt/ros/iron/lib/x86_64-linux-gnu:/opt/ros/iron/lib'), ('HOME', '/home/ubuntu'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('DBUS_STARTER_BUS_TYPE', 'session'), ('SYSTEMD_EXEC_PID', '2428'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/999/bus,guid=029e0f4fc8d61d8d3d98334166030c5e'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('COLCON_PREFIX_PATH', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install'), ('ROS_DISTRO', 'iron'), ('GTK_IM_MODULE', 'ibus'), ('LOGNAME', 'ubuntu'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'ubuntu'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/iron/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/ubuntu:@/tmp/.ICE-unix/2428,unix/ubuntu:/tmp/.ICE-unix/2428'), ('XDG_MENU_PREFIX', 'gnome-'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/da8bab79_5b1a_469b_9233_be305817c907'), ('XDG_RUNTIME_DIR', '/run/user/999'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/999/gdm/Xauthority'), ('GNOME_TERMINAL_SERVICE', ':1.115'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/999/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz:/opt/ros/iron'), ('SHELL', '/bin/bash'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('GPG_AGENT_INFO', '/run/user/999/gnupg/S.gpg-agent:0:1'), ('ROS_AUTOMATIC_DISCOVERY_RANGE', 'SUBNET'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/build/sam_bot_nav2_gz'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('DBUS_STARTER_ADDRESS', 'unix:path=/run/user/999/bus,guid=029e0f4fc8d61d8d3d98334166030c5e'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/opt/ros/iron/lib/python3.10/site-packages'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz:/opt/ros/iron')]), 'shell': False}
[0.099199] (sam_bot_nav2_gz) CommandEnded: {'returncode': 0}
[0.099504] (-) TimerEvent: {}
[0.119439] (sam_bot_nav2_gz) JobProgress: {'identifier': 'sam_bot_nav2_gz', 'progress': 'install'}
[0.128409] (sam_bot_nav2_gz) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/build/sam_bot_nav2_gz'], 'cwd': '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/build/sam_bot_nav2_gz', 'env': OrderedDict([('USER', 'ubuntu'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/iron/opt/rviz_ogre_vendor/lib:/opt/ros/iron/lib/x86_64-linux-gnu:/opt/ros/iron/lib'), ('HOME', '/home/ubuntu'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('DBUS_STARTER_BUS_TYPE', 'session'), ('SYSTEMD_EXEC_PID', '2428'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/999/bus,guid=029e0f4fc8d61d8d3d98334166030c5e'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('COLCON_PREFIX_PATH', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install'), ('ROS_DISTRO', 'iron'), ('GTK_IM_MODULE', 'ibus'), ('LOGNAME', 'ubuntu'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'ubuntu'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/iron/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/ubuntu:@/tmp/.ICE-unix/2428,unix/ubuntu:/tmp/.ICE-unix/2428'), ('XDG_MENU_PREFIX', 'gnome-'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/da8bab79_5b1a_469b_9233_be305817c907'), ('XDG_RUNTIME_DIR', '/run/user/999'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/999/gdm/Xauthority'), ('GNOME_TERMINAL_SERVICE', ':1.115'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/999/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz:/opt/ros/iron'), ('SHELL', '/bin/bash'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('GPG_AGENT_INFO', '/run/user/999/gnupg/S.gpg-agent:0:1'), ('ROS_AUTOMATIC_DISCOVERY_RANGE', 'SUBNET'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/build/sam_bot_nav2_gz'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('DBUS_STARTER_ADDRESS', 'unix:path=/run/user/999/bus,guid=029e0f4fc8d61d8d3d98334166030c5e'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/opt/ros/iron/lib/python3.10/site-packages'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz:/opt/ros/iron')]), 'shell': False}
[0.135074] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.135289] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Up-to-date: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src\n'}
[0.135392] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control\n'}
[0.135453] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control\n'}
[0.135576] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/gz_hardware_plugins.xml\n'}
[0.135721] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/CHANGELOG.rst\n'}
[0.135849] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/src\n'}
[0.135950] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/src/gz_ros2_control_plugin.cpp\n'}
[0.136085] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/src/gz_system.cpp\n'}
[0.136197] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/CMakeLists.txt\n'}
[0.136305] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/package.xml\n'}
[0.136509] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/include\n'}
[0.136636] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/include/gz_ros2_control\n'}
[0.136697] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/include/gz_ros2_control/gz_system_interface.hpp\n'}
[0.136811] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/include/gz_ros2_control/gz_ros2_control_plugin.hpp\n'}
[0.136970] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/include/gz_ros2_control/gz_system.hpp\n'}
[0.137120] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/gz_ros2_control/LICENSE\n'}
[0.137275] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/README.md\n'}
[0.137420] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.pre-commit-config.yaml\n'}
[0.137565] (sam_bot_nav2_gz) StdoutLine: {'line': b'-- Installing: /home/ubuntu/ros2_ws/src/sam_bot_nav2_gz/install/sam_bot_nav2_gz/share/sam_bot_nav2_gz/src/gz_ros2_control/.github\n'}
